,긍정단어,실제 소비자평(긍정),긍정단어 수,부정단어,실제 소비자평(부정),부정단어 수
526,천이,0,44,가시,0,3
527,실루엣,0,44,이유,0,3
528,상관,0,43,어요,0,3
529,핏하,0,43,정돈,0,3
530,그게,0,43,부스럭,-1,3
531,카키,0,43,주입,0,3
532,스트릿,0,43,부풀,-1,3
533,처럼,0,43,주얼,0,3
534,모양,0,43,수가,0,3
535,체고,1,43,분위기,0,3
536,실패,-1,42,아버지,0,3
537,마스터,0,42,스팩,0,3
538,디테,0,42,이후,0,3
539,완벽,1,42,사용,0,3
540,스판,0,42,사만오천원,0,3
541,타이즈,0,42,아유,0,3
542,스텐,0,42,아이보리,0,3
543,작업복,0,41,사계절,0,3
544,양말,0,41,빨때,0,3
545,피부,0,41,빨래,0,3
546,읍니,0,41,빳빳해,-1,3
547,보임,0,41,엉망,-1,3
548,제로,0,41,서비스,0,3
549,런가,0,41,보시,0,3
550,불구,0,41,즌데,0,3
551,시간,0,41,저스트,0,3
552,젛아,1,41,소화,0,3
553,사이,0,40,바느질,0,3
554,올해,0,40,오지,0,3
555,에그렛,0,40,쪼끔,-1,3
556,남친,0,40,오빠,0,3
557,실내,0,40,쪼금,-1,3
558,쫀쫀해,1,40,오발,0,3
559,추위,0,40,세탁소,0,3
560,만족도,0,40,오늘,0,3
561,조던,0,40,예정,0,3
562,세상,0,40,예전,0,3
563,대안,0,39,세용,0,3
564,체육복,0,39,예쁜핏,1,3
565,막상,0,39,배송비,-1,3
566,살때,0,39,역할,0,3
567,오빠,0,39,직전,0,3
568,가도,0,39,입시,0,3
569,요다음,0,39,번안,0,3
570,인치,0,38,지인,0,3
571,적극,0,38,지연,0,3
572,개편,0,38,지도,0,3
573,장점,0,38,지네,0,3
574,진심,0,38,가안,0,3
575,실제,0,38,별루,-1,3
576,제격,1,38,의향,0,3
577,하이,0,38,박음질,0,3
578,구김,-1,38,하리,0,3
579,끝판,1,38,된거,0,3
580,포인트,0,37,광택,0,3
581,쫀쫀하,1,37,라운지,0,3
582,트랙,0,37,도착,0,3
583,커플,0,37,단계,0,3
584,위해,0,37,대부분,0,3
585,최대한,0,37,평타,0,3
586,비닐,0,36,도서관,0,3
587,도전,0,36,평이,0,3
588,사가,0,36,내기,0,3
589,연출,0,36,내내,0,3
590,널널해,1,36,탄탄,1,3
591,혹시,0,36,대체,-1,3
592,단독,0,36,고려,0,3
593,시즌,0,36,라서,0,3
594,어요,0,36,표현,0,3
595,생일,0,36,깡패,1,3
596,단감,0,36,대한,0,3
597,깨감,0,35,카키,0,3
598,작고,-1,35,마냥,1,3
599,회사,0,35,티셔츠,0,3
600,허리밴딩,0,35,마스터,0,3
601,모로,0,35,렉스,0,3
602,세탁기,0,35,결론,0,3
603,베리,0,35,나크,0,3
604,구성,0,34,는걸,0,3
605,지인,0,34,폴리,0,3
606,무텐다드,0,34,단독,0,3
607,센치,0,34,단도,0,3
608,일도,0,34,나니,0,3
609,슬림핏,1,34,맨즈,0,3
610,고요,0,34,따라서,0,3
611,성은,0,34,괜춘해,1,3
612,중간,0,34,하진,0,3
613,남동생,0,34,개선,-1,3
614,이전,0,34,매일,0,3
615,조음,1,33,누가,0,3
616,최강,1,33,기존,0,3
617,택배,0,33,헐렁,-1,3
618,질질,-1,33,교복,0,3
619,조만간,0,33,단추,0,3
620,한편,0,33,개심,0,3
621,이나,0,33,구김,-1,3
622,얼른,0,33,품절,1,3
623,괜춘,1,33,학원,0,3
624,나이스,1,33,최대로,0,3
625,낙낙,1,33,통풍,0,3
626,냄새,-1,33,남동생,0,3
627,고정,0,33,리뷰,0,3
628,부들부들,1,32,다가,0,3
629,쪼끔,-1,32,피드백,0,3
630,선호,1,32,펑퍼짐,-1,3
631,제발,0,32,속옷,0,2
632,딸아이,0,32,비굿,1,2
633,이바,0,32,포기,-1,2
634,셔츠,0,32,거려,-1,2
635,이후,0,32,주먹,-1,2
636,쟁여두,1,32,불매,-1,2
637,티나,-1,32,가까이,0,2
638,쇼핑몰,0,32,동안,0,2
639,마냥,0,32,주로,0,2
640,갑자기,0,32,종이,0,2
641,여러가지,0,32,그다지,-1,2
642,장창,0,31,니드,0,2
643,네오,0,31,일찍,0,2
644,자마자,0,31,불가능,-1,2
645,살껄,-1,31,두루,1,2
646,언니,0,31,형태,0,2
647,요통,0,31,이신,0,2
648,통통,0,31,여러,0,2
649,덕분,1,31,감사,1,2
650,슈퍼,0,31,딸아이,0,2
651,지난번,0,31,키크,0,2
652,알짝,0,31,화요일,0,2
653,이하,-1,31,심플,1,2
654,칼라,0,30,화면,0,2
655,사지,-1,30,중임,0,2
656,바느질,0,30,보태,-1,2
657,넓이,0,30,한국,0,2
658,돼지,0,30,보플,-1,2
659,마트,0,30,듯해,0,2
660,탄탄,1,30,복임,0,2
661,반바지,0,30,듭니당,1,2
662,생활,0,30,볼때,0,2
663,생기,0,30,이상인,1,2
664,리하,0,30,입구,0,2
665,번갈아,0,30,봉제,0,2
666,최근,0,29,봉지,0,2
667,시기,0,29,이바,0,2
668,꽉끈,0,29,한여름,0,2
669,일상,1,29,태그,0,2
670,도착,0,29,부자,0,2
671,주변,0,29,가나다,0,2
672,오우,1,29,수고,0,2
673,고급,1,29,표기,0,2
674,쥬얼,0,29,저렴,1,2
675,위로,0,29,쇼핑,0,2
676,인정,1,29,이상은,0,2
677,청바지,0,29,통해,0,2
678,요요,0,29,이크,0,2
679,반품,-1,29,어어,0,2
680,무탠다드답,0,28,대면,0,2
681,이바지,0,28,기신,0,2
682,존예,1,28,아픔,-1,2
683,늦가을,0,28,정전기,-1,2
684,깡패,1,28,대도,0,2
685,발달,0,28,전투복,0,2
686,등등,0,28,안내,0,2
687,밝기,0,28,대박,1,2
688,이상은,0,28,성도,0,2
689,일이,0,28,일상,1,2
690,공용,1,28,섬유,0,2
691,영하,0,27,개꿀,1,2
692,인기,1,27,안함,0,2
693,요키,0,27,성능,0,2
694,스팩,0,27,인심,0,2
695,주로,0,27,상관,0,2
696,부츠,0,27,상담,0,2
697,경우,0,27,상대,0,2
698,티셔츠,0,27,상복,-1,2
699,화이팅,1,27,상상,0,2
700,누나,0,27,상세,0,2
701,요추,0,27,상이,0,2
702,그대,0,27,정보,0,2
703,하얀색,0,27,팬티,0,2
704,스트레이트,0,26,아이,0,2
705,매칭,0,26,답변,0,2
706,레귤러,0,26,기전,0,2
707,확인,0,26,점점,0,2
708,어어,0,26,절용,0,2
709,나머진,0,26,전화,0,2
710,버스,0,26,색인,0,2
711,가원,0,26,한파,0,2
712,군더더기,1,26,대체로,0,2
713,위도,0,26,압도,1,2
714,마일,0,26,이정,0,2
715,인지,0,25,일정,0,2
716,판매,0,25,평균,0,2
717,매각,0,25,다른사람,0,2
718,듯해,0,25,아래쪽,0,2
719,꼬툭튀,-1,25,조심,-1,2
720,사계,0,25,평상시,1,2
721,패션,0,25,땀복,0,2
722,제대로,0,25,허리밴딩,0,2
723,색갈,0,25,앞뒤,0,2
724,이름,0,25,어벙벙,-1,2
725,비템,0,25,독서실,0,2
726,신어,0,25,이주,0,2
727,상체,0,25,비용,0,2
728,나팔,0,25,족족,0,2
729,포장,0,25,허리춤,0,2
730,종류,0,24,편임,0,2
731,좋슴다,1,24,사기,0,2
732,안성맞춤,1,24,덕분,1,2
733,단도,0,24,야합,0,2
734,또한,0,24,한적,0,2
735,유니클로,0,24,사랑,1,2
736,레귤러핏,0,24,파업,-1,2
737,체적,0,24,더더,0,2
738,이기,0,24,파타하,0,2
739,싸구려,-1,24,가바,0,2
740,환절기,0,24,인간,0,2
741,천도,0,24,아마,0,2
742,치가,0,24,사슬,0,2
743,테크,0,24,대해,0,2
744,초반,0,24,애용,1,2
745,무척,1,24,사은,0,2
746,깜짝,0,23,사이,0,2
747,가끔,0,23,여주,0,2
748,후반,0,23,역대,1,2
749,손색,1,23,키로,0,2
750,잠시,0,23,가능,0,2
751,평타,0,23,스트링,0,2
752,개사,1,23,마르,0,2
753,상하,0,23,흐물,-1,2
754,평이,0,23,물이,0,2
755,봉제,0,23,요안,0,2
756,성공,1,23,요약,0,2
757,핏이쁘,1,23,결과,0,2
758,장난,0,23,문자,0,2
759,수고,0,23,요정,0,2
760,큰일,-1,23,차카,0,2
761,박음질,0,23,겨우,0,2
